Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2016-12-18 18:12:11.649000,-3574,9243,-3354,6760,-6748,1625,-5215,11089,-4940,8786,-7930,11546
2016-12-18 18:12:11.657000,2132,9243,8179,6760,3922,1625,5086,11089,2059,8786,-7151,11546
2016-12-18 18:12:11.663000,-1994,8845,-4877,6760,7544,1625,2520,11089,4592,8786,-1746,11546
2016-12-18 18:12:11.665000,-1450,8845,6237,6760,-6495,1625,6930,11089,-7856,8786,-1692,11546
2016-12-18 18:12:11.670000,5848,8845,-232,6760,-2836,1625,-5304,11089,-6101,8786,-4788,11546
2016-12-18 18:12:11.679000,-2136,8845,1093,6760,-7342,1625,-4467,11089,3451,8786,-8183,11546
2016-12-18 18:12:11.681000,2271,8845,-1923,6760,-7703,1625,-2750,11089,-3475,8786,2008,11546
2016-12-18 18:12:11.687000,-3591,8845,758,6760,4716,1625,7301,11089,-6435,8786,6995,11546
2016-12-18 18:12:11.694000,6686,8845,-1586,6760,4156,1625,-1274,11089,-4561,8786,5201,11546
2016-12-18 18:12:11.697000,2261,8845,-6784,6760,-776,1625,-1723,11089,2897,8786,-752,11546
2016-12-18 18:12:11.701000,-6978,8845,4782,10757,-2537,1625,3714,11089,2770,8786,-1482,11546
2016-12-18 18:12:11.710000,-5120,8845,5168,10757,8132,1625,-6494,11089,1858,8786,-599,11546
2016-12-18 18:12:11.722000,2524,8845,7283,10757,5162,1625,1704,11089,-3298,8786,6346,11546
2016-12-18 18:12:11.723000,6405,8845,8020,10757,-1654,1625,-5385,11089,-3481,8786,182,11546
2016-12-18 18:12:11.728000,6405,8845,8020,10757,-1654,1625,-5385,11089,-3481,8786,182,11546
2016-12-18 18:12:11.731000,2381,8845,-7552,10757,-8006,1625,-266,11089,-6409,8786,-6882,11546
2016-12-18 18:12:11.735000,5944,8845,7109,10757,1738,1625,2313,11089,-1196,8786,878,11546
2016-12-18 18:12:11.742000,948,8845,-2276,10757,-3784,1625,-6965,11089,-887,8786,2423,11546
2016-12-18 18:12:11.743000,-497,8845,1932,10757,-5486,1625,-7064,11089,3928,8786,-5671,11546
2016-12-18 18:12:11.751000,-4405,8845,6724,10757,5812,1625,-7059,11089,6174,8786,1680,11546
2016-12-18 18:12:11.758000,7940,8845,-4957,10757,-6599,1625,-3591,11089,4710,8786,2341,11546
2016-12-18 18:12:11.759000,-2880,8845,-6374,10757,-1580,1625,7186,11089,612,8786,8072,11546
2016-12-18 18:12:11.766000,-7677,8845,6919,10757,-4648,1625,-2018,11089,733,8786,-4570,7603
2016-12-18 18:12:11.773000,1196,8845,-5181,10757,7513,1625,5356,11089,1256,8786,-3075,7603
2016-12-18 18:12:11.774000,-2072,8845,4970,10757,-4280,1625,5388,11089,-4266,8786,6815,7603
2016-12-18 18:12:11.785000,-7020,8845,-804,10757,7176,1625,4497,11089,-4070,8786,419,7603
2016-12-18 18:12:11.789000,-3191,8845,7768,10757,-3751,1625,-4028,11089,6248,8786,-4380,7603
2016-12-18 18:12:11.793000,-1987,8845,-5726,10757,1991,1625,2184,11089,-4984,8786,7393,7603
2016-12-18 18:12:11.797000,-5062,8845,-2810,10757,7854,1625,-1659,11089,-2602,8786,-7808,7603
2016-12-18 18:12:11.805000,275,8845,1798,10757,-3005,1625,-2751,11089,-5504,8786,-6447,7603
2016-12-18 18:12:11.806000,-5806,8845,-5491,10757,-7130,1625,-2787,11089,-4317,8786,116,7603
2016-12-18 18:12:11.814000,2379,8845,-3188,10757,-568,1625,-2388,11089,-1427,8786,399,7603
2016-12-18 18:12:11.820000,4055,8845,5484,10757,5063,1625,2742,11089,-1977,8786,-6184,7603
2016-12-18 18:12:11.823000,1307,8845,-2161,10757,4027,1625,809,11089,-5868,8786,5298,7603
2016-12-18 18:12:11.827000,5141,8845,1184,10757,-2815,1625,5496,11089,3796,8786,-2010,7603
2016-12-18 18:12:11.836000,-8000,8845,4090,10757,1132,1625,-1399,11089,6134,8786,-6269,7603
2016-12-18 18:12:11.838000,-1133,8845,5518,10757,-1241,1625,6238,11089,4466,8786,-2740,7603
2016-12-18 18:12:11.845000,2271,8845,-8090,10757,-5687,1625,-7400,11089,6177,8786,-5844,7603
2016-12-18 18:12:11.852000,5475,8845,-5991,10757,5501,1625,-5550,11089,-958,8786,-3339,7603
2016-12-18 18:12:11.853000,-6372,8845,-1411,10757,1113,1625,5939,11089,6709,8786,-2274,7603
2016-12-18 18:12:11.859000,-5604,8845,-410,10757,-3516,1625,-7439,11089,-3530,8786,-1973,7603
2016-12-18 18:12:11.868000,-930,8845,-5206,10757,2584,1625,4163,11089,4103,8786,-3224,7603
2016-12-18 18:12:11.869000,-5380,8845,-6602,10757,-7012,1625,5116,11089,6134,8786,-1263,7603
2016-12-18 18:12:11.878000,6147,8845,-2229,10757,807,1625,1406,11089,2757,8786,-1345,7603
2016-12-18 18:12:11.884000,-6492,8845,2868,10757,-7747,1625,12,11089,1310,8786,1458,7603
2016-12-18 18:12:11.885000,2506,8845,-2271,10757,593,1625,-4221,11089,-920,8786,-721,7603
2016-12-18 18:12:11.891000,-7744,8845,-1163,10757,7504,1625,-7532,11089,-5474,8786,-7025,7603
2016-12-18 18:12:11.899000,3794,8845,-4113,10757,2564,1625,-4454,11089,649,8786,-1681,7603
2016-12-18 18:12:11.903000,6406,8845,-6228,10757,-65,1625,4086,11089,-3495,8786,-2893,7603
2016-12-18 18:12:11.908000,1348,8845,-5946,10757,5807,1625,4600,11089,-2408,8786,4620,7603
2016-12-18 18:12:11.917000,-3289,8845,-1840,10757,-1456,1625,101,11089,4629,8786,-5291,7603
2016-12-18 18:12:11.917000,-2156,8845,507,10757,-5728,1625,4981,11089,3524,8786,3915,7603
2016-12-18 18:12:11.923000,7008,8845,1354,16262,-4402,1625,-4481,11089,7566,8786,4763,7603
2016-12-18 18:12:11.931000,-6317,8845,7954,16262,-296,1625,-7044,11089,4999,8786,5041,7603
2016-12-18 18:12:11.932000,-2532,8845,-6499,16262,8111,1625,-4301,11089,-7086,8786,3513,7603
2016-12-18 18:12:11.940000,3884,8845,-3374,16262,2456,1625,621,11089,2463,8786,2665,7603
2016-12-18 18:12:11.947000,-5769,8845,1336,16262,-7885,1625,-1898,11089,6329,8786,2514,7603
2016-12-18 18:12:11.949000,4029,8845,3681,16262,-5200,1625,8042,11089,-6350,8786,6081,7603
2016-12-18 18:12:11.954000,7135,8845,-3795,16262,-3002,1625,-1693,11089,-907,8786,1635,7603
2016-12-18 18:12:11.962000,-5717,8845,-2155,16262,-462,1625,1840,11089,732,8786,1298,7603
2016-12-18 18:12:11.965000,5582,8845,-5821,16262,7210,1625,5858,11089,7354,8786,-6626,7603
2016-12-18 18:12:11.972000,3005,8845,3208,16262,7695,1625,-5818,11089,1084,8786,-8172,7603
2016-12-18 18:12:11.978000,2291,8845,-4409,16262,-235,1625,-2059,11089,-2374,8786,7342,7603
2016-12-18 18:12:11.980000,7285,8845,-6396,16262,4898,1625,-6138,11089,7340,8786,-2011,7603
2016-12-18 18:12:11.985000,-7769,8845,-6064,16262,-4510,1625,-4455,11089,7102,8786,1823,7603
2016-12-18 18:12:11.994000,-3945,8845,-7820,16262,6606,1625,-258,11089,-5609,8786,-6966,7603
2016-12-18 18:12:11.996000,5900,8845,-3240,16262,-4747,1625,3363,11089,-560,8786,-1208,7603
2016-12-18 18:12:12.003000,8014,8845,-4299,16262,7769,1625,2311,11089,4831,8786,-5031,7603
2016-12-18 18:12:12.010000,-1098,8845,-1378,16262,-6365,1625,-6859,11089,-4664,8786,1410,7603
2016-12-18 18:12:12.012000,-171,8845,-3773,16262,1768,1625,-4314,11089,-1418,8786,2780,7603
2016-12-18 18:12:12.017000,3243,8845,-5900,16262,-2161,1625,4304,11089,7509,8786,8024,7603
2016-12-18 18:12:12.025000,2364,8845,-1493,16262,-7965,1625,-2600,11089,7176,8786,2548,7603
2016-12-18 18:12:12.027000,2384,8845,16,16262,4722,1625,-5423,11089,-4883,8786,7623,7603
2016-12-18 18:12:12.034000,6838,8845,-772,16262,91,1625,-960,11089,3739,8786,7966,7603
2016-12-18 18:12:12.042000,4680,8845,-6495,16262,-4158,1625,-3963,11089,-5404,8786,6549,7603
2016-12-18 18:12:12.043000,1222,8845,-4184,16262,7689,1625,-7374,11089,-1683,8786,-6980,7603
2016-12-18 18:12:12.049000,3775,8845,-1586,16262,2709,1625,-415,11089,594,8786,1426,7603
2016-12-18 18:12:12.057000,-4618,8845,4036,16262,-3829,1625,-4094,11089,6126,8786,-7045,7603
2016-12-18 18:12:12.058000,-6363,8845,4657,16262,-6165,1625,-1353,11089,-4654,8786,7750,7603
2016-12-18 18:12:12.066000,-8061,8845,-4779,16262,-2728,1625,2264,11089,8049,8786,-7285,7603
2016-12-18 18:12:12.073000,-3609,8845,3640,16262,6707,1625,5786,11089,604,8786,-7582,7603
2016-12-18 18:12:12.074000,3330,8845,3707,16262,7904,1625,2106,11089,-2723,8786,-2546,7603
2016-12-18 18:12:12.080000,1374,8845,3270,16262,-6799,1625,1732,11089,7215,8786,4103,7603
2016-12-18 18:12:12.088000,-5724,8845,7393,16262,4263,1625,3625,11089,-5890,8786,4597,7603
2016-12-18 18:12:12.091000,-7058,8845,-5852,16262,3116,1625,-1419,11089,-2667,8786,-665,7603
2016-12-18 18:12:12.097000,-3836,8845,-7378,16262,-3002,1625,-924,11089,8065,8786,-7538,7603
2016-12-18 18:12:12.104000,4256,8845,1406,16262,2349,1625,-1129,11089,-6382,8786,263,7603
2016-12-18 18:12:12.106000,3722,8845,1307,16262,-8177,1625,747,11089,-1283,8786,-6569,7603
2016-12-18 18:12:12.112000,-7927,8845,5068,16262,127,1625,6285,11089,5856,8786,-62,7603
2016-12-18 18:12:12.120000,-1811,8845,2625,16262,5310,1625,-4814,11089,2412,8786,5059,7603
2016-12-18 18:12:12.121000,-2043,8845,-1550,16262,-2342,1625,2661,11089,-6351,8786,7084,7603
2016-12-18 18:12:12.128000,4658,8845,5638,16262,-4210,1625,200,11089,4417,8786,-2227,7603
2016-12-18 18:12:12.136000,7501,8845,-6188,16262,3955,1625,-3337,11089,3862,8786,-4316,7603
2016-12-18 18:12:12.137000,-2376,8845,7772,16262,-6784,1625,1849,11089,-6322,8786,-1509,7603
2016-12-18 18:12:12.143000,-6304,8845,2678,16262,1691,1625,7626,11089,4923,8786,934,7603
2016-12-18 18:12:12.151000,3252,8845,-962,16262,1098,1625,7402,11089,5318,8786,-1492,7603
2016-12-18 18:12:12.155000,5473,8845,3882,16262,-6761,1625,-36,11089,-8080,8786,1849,7603
2016-12-18 18:12:12.160000,-5246,8845,-6470,16262,4612,1625,-719,11089,5245,8786,1497,7603
2016-12-18 18:12:12.167000,-3666,8845,-3213,16262,4129,1625,3962,11089,3984,8786,-4164,7603
2016-12-18 18:12:12.169000,-3029,8845,-1309,16262,7843,1625,4305,11089,57,8786,-678,7603
2016-12-18 18:12:12.174000,-3840,8845,4807,16262,6980,1625,5293,11089,2426,8786,-5181,7603
2016-12-18 18:12:12.183000,-427,8845,-1513,16262,-2233,1625,-6630,11089,2546,8786,6070,7603
2016-12-18 18:12:12.184000,-2763,8845,-7443,8105,6447,1625,2919,11089,1029,8786,-4265,7603
2016-12-18 18:12:12.192000,-7605,8845,-1792,8105,-43,1625,5379,11089,7061,8786,5410,7603
2016-12-18 18:12:12.199000,-3867,8845,2654,8105,-4641,1625,6002,11089,-8082,8786,2808,7603
2016-12-18 18:12:12.200000,-231,8845,8006,8105,768,1625,3622,11089,-4965,8786,-4568,7603
2016-12-18 18:12:12.206000,-601,8845,-3263,8105,-2516,1625,-7210,11089,2071,8786,-3092,7603
2016-12-18 18:12:12.215000,7950,8845,453,8105,6354,1625,3898,11089,1884,8786,-2213,7603
2016-12-18 18:12:12.216000,7313,8845,-3863,8105,-7395,1625,-5814,11089,-3705,8786,5993,7603
2016-12-18 18:12:12.223000,7361,8845,-3169,8105,3941,1625,959,11089,-964,8786,-211,7603
2016-12-18 18:12:12.231000,-7510,8845,5302,8105,-4655,1625,1094,11089,4681,8786,2535,7603
2016-12-18 18:12:12.233000,5977,8845,2043,8105,-1069,1625,-5010,11089,5733,8786,-3582,7603
2016-12-18 18:12:12.239000,3058,8845,-2086,8105,1331,1625,-6198,11089,-2387,8786,6511,7603
2016-12-18 18:12:12.249000,-1591,8845,-970,8105,5415,1625,-1886,11089,-5309,8786,7230,7603
2016-12-18 18:12:12.250000,-5285,8845,2716,8105,-2471,1625,-5633,11089,-3125,8786,-2708,7603
2016-12-18 18:12:12.254000,2179,8845,-5454,8105,3359,1625,4288,11089,1711,8786,3182,7603
2016-12-18 18:12:12.262000,5197,8845,-1957,8105,8000,1625,-3363,11089,3184,8786,-207,7603
2016-12-18 18:12:12.263000,-833,8845,-7106,8105,7579,1625,1621,11089,1584,8786,3011,7603
2016-12-18 18:12:12.269000,-7231,8845,-939,8105,2065,1625,3799,11089,-2146,8786,4172,7603
2016-12-18 18:12:12.278000,-3210,8845,-6187,8105,-4237,1625,4348,11089,-4417,8786,5516,7603
2016-12-18 18:12:12.279000,7638,8845,-7429,8105,-5199,1625,4787,11089,5505,8786,-5332,7603
2016-12-18 18:12:12.286000,1225,8845,-1648,8105,5115,1625,-4066,10036,-807,8786,1767,7603
2016-12-18 18:12:12.293000,2969,8845,4882,8105,-970,1625,-333,10036,4272,8786,3984,7603
2016-12-18 18:12:12.296000,-6142,8845,461,8105,-7955,1625,4906,10036,-3098,8786,-2594,7603
2016-12-18 18:12:12.300000,4910,8845,4710,8105,2360,1625,-5804,10036,1214,8786,-5511,7603
2016-12-18 18:12:12.312000,618,8845,5040,8105,-3295,1625,5557,10036,-4509,8786,5629,10718
2016-12-18 18:12:12.313000,6030,8845,-6173,8105,6752,1625,6726,10036,2981,8786,3610,10718
2016-12-18 18:12:12.318000,-7358,8845,3359,8105,-1664,1625,3877,10036,-7750,8786,229,10718
2016-12-18 18:12:12.325000,7837,8845,-6481,10523,-89,1625,7769,10036,-424,8786,-204,10718
2016-12-18 18:12:12.326000,-2813,8845,3889,10523,376,1625,-5785,10036,-5742,8786,-6425,10718
2016-12-18 18:12:12.332000,-7088,8845,7500,3105,-3788,1625,3509,10036,1695,8786,1126,10718
2016-12-18 18:12:12.341000,5679,8845,4571,3105,-632,1625,8105,10036,4294,8786,-2273,10718
2016-12-18 18:12:12.342000,7024,8845,7259,3105,2804,1625,-1087,10036,-6249,8786,5412,10718
2016-12-18 18:12:12.349000,-664,8845,3784,3105,1908,1625,7647,10036,-3238,8786,-607,10718
2016-12-18 18:12:12.356000,7469,8845,2010,3105,-6712,1625,-7107,10036,3452,8786,-3641,10718
2016-12-18 18:12:12.358000,7356,8845,6940,3105,-5072,1625,-5465,10036,-6094,8786,7547,10718
2016-12-18 18:12:12.363000,5382,8845,-3785,3105,533,1625,-7944,10036,-1466,8786,-3321,10718
2016-12-18 18:12:12.372000,-2102,8845,-4151,3105,5670,1625,6450,10036,7901,8786,242,10718
2016-12-18 18:12:12.377000,-6958,8845,-6585,3105,823,1625,2393,10036,3076,8786,-3779,10718
2016-12-18 18:12:12.381000,6195,8845,-668,3105,-4901,1625,883,10036,5659,8786,-2735,10718
2016-12-18 18:12:12.388000,-4781,8845,2764,3105,-1185,1625,-8158,10036,2909,8786,5921,10718
2016-12-18 18:12:12.389000,3812,8845,-4075,3105,-6809,1625,3523,10036,3315,8786,4777,10718
2016-12-18 18:12:12.395000,-7124,8845,-7325,3105,-7691,1625,-4866,10036,1136,8786,-5041,10718
2016-12-18 18:12:12.404000,7686,8845,4892,3105,-2721,1625,5744,10036,-5895,8786,755,10718
2016-12-18 18:12:12.405000,-5712,8845,-1520,3105,5709,1625,5509,10036,-2290,8786,7732,10718
2016-12-18 18:12:12.413000,-480,8845,2101,3105,3202,1625,6470,10036,774,8786,1513,10718
2016-12-18 18:12:12.419000,-3777,8845,-3470,3105,-6550,1625,-6986,10036,927,8786,2266,10718
2016-12-18 18:12:12.422000,-940,8845,-3099,3105,-7304,1625,2642,10036,-5510,8786,-5218,10718
2016-12-18 18:12:12.426000,3366,8845,-2147,3105,3752,1625,7364,10036,6500,8786,6915,10718
2016-12-18 18:12:12.435000,6218,8845,5391,3105,-3218,1625,5599,10036,2922,8786,4551,10718
2016-12-18 18:12:12.447000,1682,8845,-5135,3105,-6224,1625,7988,10036,326,8786,6663,10718
2016-12-18 18:12:12.448000,7279,8845,6197,3105,-5233,1625,3790,10036,-3753,8786,8011,10718
2016-12-18 18:12:12.453000,7279,8845,6197,3105,-5233,1625,3790,10036,-3753,8786,8011,10718
2016-12-18 18:12:12.454000,-7784,8845,4333,3105,-462,1625,-4504,10036,-6562,8786,-8064,10718
2016-12-18 18:12:12.460000,6242,8845,-3736,3105,4403,1625,-7044,10036,-6031,8786,-1147,10718
2016-12-18 18:12:12.467000,8186,8845,-5252,3105,7609,1625,-4046,10036,7197,8786,-2296,10718
2016-12-18 18:12:12.468000,-4771,8845,7485,3105,3348,1625,-1283,10036,4372,8786,6640,10718
2016-12-18 18:12:12.475000,-6778,8845,1744,3105,5657,1625,-5690,10036,2358,8786,-6590,10718
2016-12-18 18:12:12.482000,-5152,8845,1173,3105,-7878,1625,-2669,10036,5345,8786,7034,10718
2016-12-18 18:12:12.485000,8105,8845,6122,3105,-3241,1625,-355,10036,-7737,8786,-4154,10718
2016-12-18 18:12:12.489000,401,8845,5482,3105,-875,1625,2447,10036,3627,8786,2590,10718
2016-12-18 18:12:12.500000,6199,8845,-3854,3105,4511,1625,4198,10036,-1600,8786,-5471,10718
2016-12-18 18:12:12.501000,-7800,8845,4426,3105,-3868,1625,1696,10036,6170,8786,6046,10718
2016-12-18 18:12:12.507000,-5951,8845,8104,3105,8127,1625,586,10036,642,8786,-814,10718
2016-12-18 18:12:12.515000,-6634,8845,450,3105,-6605,1625,-532,10036,546,8786,-535,10718
2016-12-18 18:12:12.517000,4133,8845,2050,3105,6466,1625,-2057,10036,2411,8786,8130,10718
2016-12-18 18:12:12.522000,3238,8845,-279,3105,2085,1625,-1127,10036,6643,8786,-583,10718
2016-12-18 18:12:12.530000,1251,8845,3412,3105,5077,1625,212,10036,3207,8786,-5391,10718
2016-12-18 18:12:12.531000,4568,8845,2864,3105,3626,1625,-5713,10036,7635,8786,6845,10718
2016-12-18 18:12:12.538000,5720,8845,-2831,3105,7287,1625,4153,10036,-290,8786,396,10718
2016-12-18 18:12:12.545000,681,8845,8034,3105,2210,1625,1249,10036,4068,8786,-39,10718
2016-12-18 18:12:12.549000,2250,8845,-4596,3105,-6153,1625,-5597,10036,-3524,8786,7231,10718
2016-12-18 18:12:12.553000,-1295,8845,-4552,3105,-520,1625,-8019,10036,-6948,8786,-7678,10718
2016-12-18 18:12:12.561000,-3718,8845,1798,3105,-7811,1625,940,10036,5713,8786,-3302,10718
2016-12-18 18:12:12.563000,-737,8845,-2406,3105,2912,1625,-1335,10036,-4580,8786,-5164,10718
2016-12-18 18:12:12.570000,-7933,7494,-4264,3105,-399,1625,4459,10036,-4940,8786,6855,10718
2016-12-18 18:12:12.577000,4716,7494,-3217,3105,5657,1625,-5288,10036,6531,8786,-2027,10718
2016-12-18 18:12:12.578000,-6370,7494,94,3105,3866,1625,-2586,10036,5301,8786,-2363,10718
2016-12-18 18:12:12.584000,7607,7494,-3540,3105,-5739,1625,6723,10036,-1558,8786,983,10718
2016-12-18 18:12:12.598000,-109,7494,5860,3105,7808,1625,3901,10036,-2981,8786,8062,10718
2016-12-18 18:12:12.599000,5321,7494,-6259,3105,-5296,1625,680,10036,3413,8786,2693,10718
2016-12-18 18:12:12.602000,-127,7494,-998,3105,966,1625,1168,10036,5601,8786,239,10718
2016-12-18 18:12:12.612000,4871,7494,1113,3105,-5803,1625,-4738,10036,-3128,8786,4194,10718
2016-12-18 18:12:12.614000,6880,7494,-2084,3105,-3233,1625,-3185,10036,6488,8786,-4493,10718
2016-12-18 18:12:12.618000,1483,7494,-2726,3105,4562,1625,-608,10036,-5667,8786,114,10718
2016-12-18 18:12:12.625000,-3637,7494,-7439,3105,-4009,1625,-468,10036,2321,8786,-7221,10718
2016-12-18 18:12:12.627000,-4738,7494,-3210,3105,-712,1625,4529,10036,-6863,8786,-1968,10718
